Driver,TeamName,LapNumber,Compound,TyreLife,AirTemp,TrackTemp,LapTimeSeconds,Race,Year
TSU,AlphaTauri,2.0,SOFT,2.0,19.5,26.0,93.581,Bahrain,2022
GAS,AlphaTauri,2.0,SOFT,2.0,19.5,26.0,93.016,Bahrain,2022
RIC,McLaren,2.0,SOFT,2.0,19.4,26.0,93.603,Bahrain,2022
NOR,McLaren,2.0,SOFT,2.0,19.4,26.0,93.113,Bahrain,2022
VER,Red Bull Racing,2.0,SOFT,2.0,19.5,26.0,91.909,Bahrain,2022
PER,Red Bull Racing,2.0,SOFT,2.0,19.5,26.0,92.383,Bahrain,2022
OCO,Alpine,2.0,SOFT,2.0,19.4,25.9,92.667,Bahrain,2022
MAG,Haas F1 Team,2.0,SOFT,2.0,19.4,25.9,92.286,Bahrain,2022
MSC,Haas F1 Team,2.0,SOFT,2.0,19.4,25.9,92.592,Bahrain,2022
STR,Aston Martin,2.0,SOFT,2.0,19.4,25.9,93.309,Bahrain,2022
BOT,Alfa Romeo,2.0,SOFT,2.0,19.4,25.9,91.919,Bahrain,2022
ALB,Williams,4.0,SOFT,2.0,19.4,25.9,93.076,Bahrain,2022
ALO,Alpine,2.0,SOFT,2.0,19.4,25.9,92.346,Bahrain,2022
ZHO,Alfa Romeo,2.0,SOFT,2.0,19.4,25.9,92.786,Bahrain,2022
RIC,McLaren,4.0,SOFT,4.0,19.4,25.9,93.525,Bahrain,2022
HUL,Aston Martin,2.0,SOFT,2.0,19.4,25.9,93.434,Bahrain,2022
LEC,Ferrari,2.0,SOFT,2.0,19.4,25.9,91.471,Bahrain,2022
NOR,McLaren,4.0,SOFT,4.0,19.5,25.9,93.359,Bahrain,2022
SAI,Ferrari,2.0,SOFT,2.0,19.5,25.9,91.567,Bahrain,2022
LAT,Williams,4.0,SOFT,2.0,19.5,25.9,93.634,Bahrain,2022
VER,Red Bull Racing,4.0,SOFT,4.0,19.5,25.9,91.785,Bahrain,2022
RUS,Mercedes,2.0,SOFT,2.0,19.5,25.9,92.546,Bahrain,2022
HAM,Mercedes,2.0,SOFT,2.0,19.5,25.9,92.285,Bahrain,2022
GAS,AlphaTauri,5.0,SOFT,2.0,19.5,25.8,92.315,Bahrain,2022
RUS,Mercedes,4.0,SOFT,4.0,19.5,25.9,92.269,Bahrain,2022
HAM,Mercedes,4.0,SOFT,4.0,19.5,25.9,92.496,Bahrain,2022
ALB,Williams,7.0,SOFT,2.0,19.5,25.6,92.726,Bahrain,2022
RIC,McLaren,7.0,SOFT,2.0,19.5,25.6,92.945,Bahrain,2022
MAG,Haas F1 Team,5.0,SOFT,2.0,19.5,25.6,91.955,Bahrain,2022
NOR,McLaren,7.0,SOFT,2.0,19.5,25.6,92.239,Bahrain,2022
STR,Aston Martin,5.0,SOFT,2.0,19.5,25.6,93.032,Bahrain,2022
MSC,Haas F1 Team,5.0,SOFT,2.0,19.5,25.6,92.38,Bahrain,2022
TSU,AlphaTauri,7.0,SOFT,2.0,19.5,25.6,92.75,Bahrain,2022
BOT,Alfa Romeo,5.0,SOFT,5.0,19.5,25.6,92.459,Bahrain,2022
ZHO,Alfa Romeo,5.0,SOFT,2.0,19.5,25.6,92.493,Bahrain,2022
HUL,Aston Martin,5.0,SOFT,2.0,19.5,25.6,92.777,Bahrain,2022
LAT,Williams,7.0,SOFT,2.0,19.5,25.6,93.786,Bahrain,2022
GAS,AlphaTauri,8.0,SOFT,2.0,19.5,25.6,92.096,Bahrain,2022
OCO,Alpine,5.0,SOFT,2.0,19.5,25.6,92.041,Bahrain,2022
PER,Red Bull Racing,5.0,SOFT,5.0,19.4,25.5,92.311,Bahrain,2022
MAG,Haas F1 Team,8.0,SOFT,2.0,19.4,25.1,91.461,Bahrain,2022
MSC,Haas F1 Team,8.0,SOFT,2.0,19.4,25.1,91.998,Bahrain,2022
VER,Red Bull Racing,7.0,SOFT,2.0,19.4,25.1,90.757,Bahrain,2022
PER,Red Bull Racing,8.0,SOFT,2.0,19.4,25.1,91.377,Bahrain,2022
BOT,Alfa Romeo,8.0,SOFT,2.0,19.4,25.1,91.817,Bahrain,2022
ZHO,Alfa Romeo,8.0,SOFT,5.0,19.4,25.1,93.543,Bahrain,2022
LEC,Ferrari,5.0,SOFT,5.0,19.4,25.1,91.356,Bahrain,2022
SAI,Ferrari,5.0,SOFT,5.0,19.4,25.1,91.745,Bahrain,2022
OCO,Alpine,8.0,SOFT,2.0,19.4,25.1,91.782,Bahrain,2022
RUS,Mercedes,7.0,SOFT,2.0,19.4,25.1,91.606,Bahrain,2022
HAM,Mercedes,7.0,SOFT,2.0,19.4,25.1,91.496,Bahrain,2022
ALO,Alpine,7.0,SOFT,2.0,19.4,25.1,91.803,Bahrain,2022
