Year,Round,OfficialName,ShortName,Country,Flag,Location,DisplayName
2022,1,Bahrain Grand Prix,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2022,Bahrain,🇧🇭,Sakhir,🇧🇭 Bahrain Grand Prix
2022,2,Saudi Arabian Grand Prix,FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2022,Saudi Arabia,🇸🇦,Jeddah,🇸🇦 Saudi Arabian Grand Prix
2022,3,Australian Grand Prix,FORMULA 1 HEINEKEN AUSTRALIAN GRAND PRIX 2022,Australia,🇦🇺,Melbourne,🇦🇺 Australian Grand Prix
2022,4,Emilia Romagna Grand Prix,FORMULA 1 ROLEX GRAN PREMIO DEL MADE IN ITALY E DELL'EMILIA-ROMAGNA 2022,Italy,🇮🇹,Imola,🇮🇹 Emilia Romagna Grand Prix
2022,5,Miami Grand Prix,FORMULA 1 CRYPTO.COM MIAMI GRAND PRIX 2022,United States,🇺🇸,Miami,🇺🇸 Miami Grand Prix
2022,6,Spanish Grand Prix,FORMULA 1 PIRELLI GRAN PREMIO DE ESPAÑA 2022,Spain,🇪🇸,Barcelona,🇪🇸 Spanish Grand Prix
2022,7,Monaco Grand Prix,FORMULA 1 GRAND PRIX DE MONACO 2022,Monaco,🇲🇨,Monaco,🇲🇨 Monaco Grand Prix
2022,8,Azerbaijan Grand Prix,FORMULA 1 AZERBAIJAN GRAND PRIX 2022,Azerbaijan,🇦🇿,Baku,🇦🇿 Azerbaijan Grand Prix
2022,9,Canadian Grand Prix,FORMULA 1 AWS GRAND PRIX DU CANADA 2022,Canada,🇨🇦,Montréal,🇨🇦 Canadian Grand Prix
2022,10,British Grand Prix,FORMULA 1 LENOVO BRITISH GRAND PRIX 2022,Great Britain,🇬🇧,Silverstone,🇬🇧 British Grand Prix
2022,11,Austrian Grand Prix,FORMULA 1 ROLEX GROSSER PREIS VON ÖSTERREICH 2022,Austria,🇦🇹,Spielberg,🇦🇹 Austrian Grand Prix
2022,12,French Grand Prix,FORMULA 1 LENOVO GRAND PRIX DE FRANCE 2022,France,🇫🇷,Le Castellet,🇫🇷 French Grand Prix
2022,13,Hungarian Grand Prix,FORMULA 1 ARAMCO MAGYAR NAGYDÍJ 2022,Hungary,🇭🇺,Budapest,🇭🇺 Hungarian Grand Prix
2022,14,Belgian Grand Prix,FORMULA 1 ROLEX BELGIAN GRAND PRIX 2022,Belgium,🇧🇪,Spa-Francorchamps,🇧🇪 Belgian Grand Prix
